ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
241,OBLL,nonword,old,13,old,5.32769141719,R,1.78383616358
241,MALE,word,old,33,new,3.66416294873,N,NA
241,TRAS,nonword,old,8,new,2.33981597424,N,NA
241,GATE,word,old,12,old,1.64111352712,R,0.937295287848
241,PART,word,old,32,new,1.70756790414,N,NA
241,SONG,word,new,NA,new,1.8946499005,N,NA
241,HILL,word,new,NA,old,1.50452052429,K,3.63316382468
241,JASL,nonword,new,NA,new,3.04715973511,N,NA
241,SOTE,nonword,old,7,old,2.60359039158,R,1.64101402462
241,LOAF,word,new,NA,old,3.91699725017,K,1.48930915073
241,FLOU,nonword,new,NA,old,2.15353719145,K,1.03332221881
241,KNOO,nonword,new,NA,new,2.18415686861,N,NA
241,WASH,word,old,59,old,1.94354010373,R,2.1611305587
241,DEAR,word,old,9,old,2.59851213545,R,0.729130379856
241,DATE,word,old,43,old,2.38375275955,R,1.40946732089
241,NORT,nonword,old,26,new,3.23581194133,N,NA
241,RACE,word,new,NA,new,1.76645614952,N,NA
241,ABST,nonword,old,55,old,1.10908785462,R,1.79343964532
241,CARD,word,new,NA,new,3.51652948186,N,NA
241,FARE,word,new,NA,new,9.2865302898,N,NA
241,COAT,word,old,15,old,1.28240665793,R,2.14541163668
241,HIRP,nonword,new,NA,new,2.02756524831,N,NA
241,HALL,word,new,NA,old,2.98197450861,K,1.55326170102
241,GLAF,nonword,old,19,old,2.96725091711,R,1.85730544478
241,TROB,nonword,old,28,old,1.61190248281,R,1.44902754575
241,LONT,nonword,new,NA,new,1.48738571629,N,NA
241,BEND,word,old,42,old,1.99765362591,R,1.23307327926
241,DOPT,nonword,old,25,old,1.72028291225,R,0.801341801882
241,PAIN,word,new,NA,new,1.71146182716,N,NA
241,ONLT,nonword,new,NA,new,1.82718498632,N,NA
241,PIFT,nonword,old,54,old,1.58838892728,R,0.993662182242
241,JOSP,nonword,old,49,old,1.39588521048,R,0.721428863704
241,GORT,nonword,new,NA,new,1.69727810845,N,NA
241,SELB,nonword,old,31,new,1.40584845096,N,NA
241,BIRD,word,old,60,old,1.9325523898,R,0.849342614412
241,NOST,nonword,old,5,old,1.17036838457,K,2.40904252231
241,GINP,nonword,new,NA,new,2.83577183634,N,NA
241,DRIP,word,new,NA,new,1.51413636282,N,NA
241,HEAR,word,old,57,old,1.08282890543,R,0.969237904996
241,BOAT,word,new,NA,new,4.12670871988,N,NA
241,TEST,word,old,50,old,1.0851758793,R,0.713153574616
241,PATE,nonword,new,NA,new,1.1806213893,N,NA
241,HIPT,nonword,new,NA,new,1.06041216478,N,NA
241,FINE,word,new,NA,new,1.45833940059,N,NA
241,MEET,word,new,NA,old,2.23378627747,R,1.08922578022
241,LORT,nonword,old,35,old,1.70024861768,R,0.769055649638
241,NIST,nonword,old,52,old,1.61775328219,K,4.7211888805
241,KING,word,new,NA,new,1.3398106955,N,NA
241,CADT,nonword,new,NA,new,1.19087934867,N,NA
241,FILT,nonword,new,NA,new,2.24248592556,N,NA
241,FERN,word,old,24,old,1.27521853521,R,0.721328638494
241,SEAT,word,old,17,old,0.919441465288,R,0.793369691819
241,ILST,nonword,new,NA,old,2.04229147732,K,1.76907009631
241,BOPT,nonword,old,16,old,1.43164134026,R,0.817353513092
241,INPT,nonword,old,58,old,0.921044740826,R,0.73748100549
241,LOBT,nonword,new,NA,old,1.15375028178,R,0.745401773602
241,SALT,word,old,18,old,1.48976958171,R,0.673335850239
241,AELT,nonword,old,14,new,1.95947438478,N,NA
241,AHLL,nonword,new,NA,new,1.50542512909,N,NA
241,DUST,word,old,3,old,0.955267511308,R,0.761389516294
241,BAIL,word,old,38,old,2.89714872092,R,0.857177536935
241,BLOS,nonword,new,NA,new,1.28420225531,N,NA
241,TUNE,word,new,NA,new,1.17280858383,N,NA
241,SLEE,nonword,new,NA,new,1.23842431232,N,NA
241,FARB,nonword,old,20,new,2.34651187435,N,NA
241,COOK,word,new,NA,old,0.982179239392,R,0.705366995186
241,TOLR,nonword,new,NA,new,1.60195944458,N,NA
241,ORTT,nonword,new,NA,new,2.11644456536,N,NA
241,NOPH,nonword,new,NA,old,1.47439230233,K,0.681231189519
241,IRON,word,old,10,old,1.37846507505,R,0.553423482925
241,BACK,word,old,53,old,1.04295881093,R,0.609263341874
241,COME,word,old,1,old,1.07850810513,R,0.561243999749
241,GAME,word,old,6,old,0.951063949615,R,0.593488190323
241,SLIG,nonword,old,48,new,1.23786140978,N,NA
241,DOOT,nonword,old,45,new,1.10291522741,N,NA
241,CHUR,nonword,new,NA,new,1.11007042602,N,NA
241,JUMP,word,old,34,old,0.956859860569,R,0.55133574456
241,FOAM,word,new,NA,new,1.25980758667,N,NA
241,LOPT,nonword,old,23,old,0.958002630621,R,0.553230907768
241,FOLT,nonword,new,NA,new,1.66185876727,N,NA
241,YEAR,word,new,NA,new,4.0954872556,N,NA
241,SPOA,nonword,new,NA,new,1.42336804047,N,NA
241,MUCH,word,old,2,old,0.864659767598,R,0.61763792485
241,WORN,word,old,41,new,1.54258181155,N,NA
241,BOMB,word,new,NA,new,1.90243941545,N,NA
241,SOLD,word,new,NA,new,2.78481400385,N,NA
241,TILB,nonword,old,22,new,1.30588872358,N,NA
241,OLND,nonword,old,37,new,1.82024840638,N,NA
241,SAFE,word,new,NA,old,1.20429727808,R,1.04942602664
241,TADE,nonword,new,NA,new,1.28684047237,N,NA
241,LEAF,word,new,NA,old,0.920240540057,R,0.529000021517
241,DOVE,word,new,NA,new,0.964768115431,N,NA
241,WALL,word,new,NA,old,1.1218287088,R,0.505346499383
241,BEAN,word,old,47,old,3.27519499511,R,0.729387387633
241,HANG,word,old,27,new,0.950811076909,N,NA
241,KLIB,nonword,new,NA,new,1.36160741001,N,NA
241,SINK,word,old,56,old,0.974411722273,R,0.441318746656
241,IGST,nonword,old,36,old,0.979106541723,R,0.513141170144
241,PALE,word,new,NA,old,0.977819878608,R,1.8973672986
241,AFTH,nonword,old,4,old,1.28851618245,R,2.68133123219
241,BILP,nonword,new,NA,old,1.34711943939,K,1.27351773158
241,EGST,nonword,old,40,new,2.03363147005,N,NA
241,HAIR,word,new,NA,new,1.25518645346,N,NA
241,LIMB,word,new,NA,new,1.32923482358,N,NA
241,BITE,word,old,44,old,1.46278414875,R,0.785063464195
241,CELL,word,old,51,old,1.29638615623,R,0.769354939461
241,NULB,nonword,old,30,old,1.16294810176,R,0.937498614192
241,BOND,word,new,NA,new,0.943162485957,N,NA
