ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
242,TROB,nonword,old,29,new,9.56953281537,N,NA
242,HANG,word,old,2,old,3.13741954416,K,8.06386141479
242,INPS,nonword,old,45,old,4.69611363485,K,4.93706455827
242,DUST,word,new,NA,new,2.18784516677,N,NA
242,HIRP,nonword,old,51,new,2.63313373551,N,NA
242,NULB,nonword,new,NA,old,3.5090935789,K,0.95293514058
242,PAIN,word,new,NA,old,5.01142849028,K,1.17711559311
242,BOPT,nonword,new,NA,new,2.90016902983,N,NA
242,NIST,nonword,new,NA,new,1.94054530188,N,NA
242,NOST,nonword,old,50,old,1.95178457722,K,2.18526384607
242,HILL,word,new,NA,old,2.46980690211,R,2.40936778858
242,CARD,word,old,41,old,1.8458483927,R,0.97711077705
242,IRON,word,new,NA,new,8.01084974781,N,NA
242,RACE,word,new,NA,new,1.69469340518,N,NA
242,DESK,word,old,6,old,1.24463219941,K,0.928204476833
242,FOAM,word,old,25,new,3.06751581654,N,NA
242,SONG,word,new,NA,new,1.26594406366,N,NA
242,FINE,word,new,NA,new,4.78024848923,N,NA
242,TEST,word,old,13,new,2.89162965119,N,NA
242,FILK,nonword,old,4,old,1.30087738112,R,1.60925046727
242,AHLL,nonword,old,56,new,1.67233551666,N,NA
242,OURT,nonword,new,NA,old,1.8731582053,K,0.785135805607
242,ONLT,nonword,new,NA,old,2.94238195568,R,0.753448396921
242,HEAR,word,old,54,old,3.65272539482,K,0.665240839124
242,BOAT,word,new,NA,old,2.1169889085,K,1.1853332296
242,FARB,nonword,old,47,old,3.78339584172,R,0.792997650802
242,OLND,nonword,old,22,old,2.86248807237,R,0.841560933739
242,FARE,word,new,NA,old,1.65909617394,K,0.953504372388
242,GORT,nonword,old,15,old,1.60186814517,R,0.897138401866
242,PATE,nonword,old,43,old,1.43977286294,R,0.825455591083
242,FLOU,nonword,old,19,old,1.20146517083,R,0.8333623074
242,DOPT,nonword,old,39,new,2.14137808979,N,NA
242,LIMB,word,new,NA,new,1.95474499092,N,NA
242,CELL,word,old,55,new,2.04652256891,N,NA
242,BLOS,nonword,old,30,old,1.43599994481,K,0.833283599466
242,BITE,word,old,32,old,1.3584109433,K,0.833067245781
242,COOK,word,new,NA,new,1.42202539742,N,NA
242,EGST,nonword,new,NA,new,1.93866292015,N,NA
242,GINP,nonword,new,NA,new,2.70010929555,N,NA
242,BILP,nonword,new,NA,old,1.36254638806,K,0.745158366859
242,KING,word,old,44,old,1.2090145722,R,1.36919295043
242,SELB,nonword,new,NA,new,2.22464894503,N,NA
242,ABST,nonword,new,NA,new,4.01785950363,N,NA
242,GATE,word,old,42,old,2.67812986672,K,0.745268661529
242,TILB,nonword,new,NA,old,1.79619618133,K,0.817120533437
242,WORN,word,new,NA,new,2.47693575174,N,NA
242,MEET,word,old,49,new,1.46782860905,N,NA
242,BIRD,word,new,NA,old,1.700171303,K,1.02316102013
242,SEAT,word,old,48,new,2.67288190126,N,NA
242,BEAN,word,old,5,old,1.41311842576,K,0.665374606848
242,LONT,nonword,old,53,old,2.31307734549,K,0.697384554893
242,SALT,word,new,NA,new,1.09222102165,N,NA
242,COME,word,new,NA,new,1.30624258518,N,NA
242,TADE,nonword,old,7,old,1.07711337134,R,0.78542663902
242,LORT,nonword,new,NA,old,2.35748896003,K,0.977051395923
242,FOOL,word,old,59,new,1.09620575234,N,NA
242,PIGE,nonword,new,NA,new,1.96642909199,N,NA
242,HIPT,nonword,old,38,new,1.4501879476,N,NA
242,MUCH,word,old,11,new,1.44133070111,N,NA
242,JASL,nonword,old,35,new,4.03089488298,N,NA
242,SLIG,nonword,old,36,old,2.11689692363,K,0.553244326264
242,FOLT,nonword,new,NA,old,1.30463074893,K,0.809103727341
242,IGST,nonword,new,NA,new,2.28627483547,N,NA
242,SOLD,word,new,NA,new,2.07243191078,N,NA
242,PIFT,nonword,old,37,old,1.71075571328,K,0.761162012815
242,NORT,nonword,new,NA,new,2.68482578546,N,NA
242,ORTT,nonword,new,NA,new,1.99326871336,N,NA
242,DEAR,word,new,NA,new,7.43027660623,N,NA
242,SAFE,word,new,NA,old,6.74926413968,K,0.616834774613
242,KLIB,nonword,new,NA,new,1.89726879075,N,NA
242,PART,word,new,NA,old,1.32983624935,K,0.704955283552
242,GAME,word,old,60,old,3.01397699118,K,1.09731992334
242,LEAF,word,new,NA,new,1.54821881279,N,NA
242,TRAS,nonword,new,NA,new,2.05101925507,N,NA
242,ILST,nonword,old,52,new,2.16108269989,N,NA
242,MAID,word,new,NA,old,4.18568122759,K,0.785142101347
242,DOVE,word,new,NA,old,1.37892428041,K,0.481228403747
242,SPOA,nonword,old,46,new,1.57190540433,N,NA
242,INPT,nonword,old,58,old,1.50008905306,K,0.777350094169
242,MALE,word,new,NA,new,2.45536587015,N,NA
242,TUNE,word,new,NA,new,1.04335740581,N,NA
242,BOMB,word,old,8,old,1.10009888187,R,0.769356135279
242,FERN,word,old,1,old,1.2923499234,R,1.45755711943
242,LOBT,nonword,old,20,new,1.7747586146,N,NA
242,HALL,word,old,23,new,2.09427025542,N,NA
242,DOOT,nonword,new,NA,new,1.65331881121,N,NA
242,DATE,word,old,26,old,1.1593587473,K,0.641351282597
242,WASH,word,old,34,new,1.53405901045,N,NA
242,DELP,nonword,old,40,new,2.69452145696,N,NA
242,BOND,word,new,NA,old,1.22800126672,K,0.737324092537
242,JOSP,nonword,old,14,old,1.01607448235,R,0.865551616997
242,PALE,word,old,21,old,1.59092158824,K,0.665387134999
242,SOTE,nonword,new,NA,new,1.19919772446,N,NA
242,COAT,word,old,57,new,2.40672942996,N,NA
242,GLAF,nonword,new,NA,new,1.3190741986,N,NA
242,SINK,word,old,31,new,1.4413885735,N,NA
242,KNOO,nonword,new,NA,new,1.12901926786,N,NA
242,BACK,word,old,28,new,1.92017122731,N,NA
242,GEEL,nonword,new,NA,old,2.45340429619,K,0.657431259751
242,HOME,word,new,NA,old,0.801936838776,K,0.896909575909
242,LOAF,word,old,3,old,0.988915227354,K,0.777373589575
242,HAIR,word,old,10,new,1.46508112177,N,NA
242,OBLL,nonword,old,18,old,1.36040240899,R,1.25732292607
242,ORKS,nonword,old,27,old,1.90579436347,K,0.472907789052
242,BEND,word,new,NA,new,3.17313639447,N,NA
242,NOPH,nonword,old,16,old,0.956810276955,R,0.977392718196
242,WALL,word,new,NA,old,1.65614061803,K,0.529282622039
242,CADT,nonword,new,NA,new,1.34941190109,N,NA
242,LOPT,nonword,new,NA,old,1.13742149249,K,1.27329837158
242,JUMP,word,old,33,new,2.49587686732,N,NA
242,SILK,word,old,17,old,3.10959115624,R,1.07296003029
242,CHUR,nonword,new,NA,new,2.09300890937,N,NA
242,TOLR,nonword,old,12,old,1.0920249559,K,0.927107404917
242,BAIL,word,new,NA,old,2.40662711114,K,1.40936287493
242,YEAR,word,new,NA,new,3.1320884265,N,NA
242,DRIP,word,old,24,old,0.979750230908,R,1.28122986853
242,SLEE,nonword,new,NA,new,1.75862386823,N,NA
242,AFTH,nonword,old,9,old,1.20314559713,K,0.785029325634
242,AELT,nonword,new,NA,new,2.5989452824,N,NA
242,FILT,nonword,new,NA,old,1.11104568094,K,0.505343459547
