ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
232,LOAF,word,old,18,old,4.64562274888,K,5.93563717604
232,MALE,word,old,24,old,2.16981713474,R,1.24123516679
232,NIST,nonword,old,32,new,1.9502883032,N,NA
232,INPT,nonword,new,NA,new,2.3038648665,N,NA
232,DESK,word,new,NA,new,1.46063432097,N,NA
232,WASH,word,new,NA,new,1.18807067722,N,NA
232,IRON,word,old,20,new,1.25409893319,N,NA
232,BITE,word,new,NA,new,1.26503812149,N,NA
232,LORT,nonword,old,33,old,3.18770477548,K,1.50539338216
232,FILT,nonword,new,NA,new,3.10259523615,N,NA
232,BOAT,word,new,NA,old,3.9737583138,K,0.953301884234
232,CADT,nonword,old,43,new,1.5584170036,N,NA
232,HIRP,nonword,new,NA,new,1.81712341681,N,NA
232,AFTH,nonword,old,60,new,1.96767808124,N,NA
232,TEST,word,new,NA,new,1.2935891822,N,NA
232,PART,word,old,15,new,1.42423241958,N,NA
232,LIMB,word,old,30,old,1.31808513775,R,1.32138681039
232,NULB,nonword,old,26,old,1.57021198422,R,1.57746069878
232,GORT,nonword,old,19,old,2.15907928348,K,0.953354246914
232,GATE,word,new,NA,new,1.23549222574,N,NA
232,TILB,nonword,new,NA,old,2.62938958779,K,0.929242383689
232,ONLT,nonword,old,40,old,2.71756011993,K,0.663304470479
232,EGST,nonword,new,NA,new,1.14698583633,N,NA
232,DELP,nonword,new,NA,new,0.976770117879,N,NA
232,HILL,word,old,11,old,1.34962010384,K,0.67557124421
232,LOPT,nonword,old,38,new,1.33833910152,N,NA
232,KING,word,new,NA,new,0.838099580258,N,NA
232,TUNE,word,new,NA,new,0.999673921615,N,NA
232,ILST,nonword,old,17,old,1.63489194959,K,0.681416630745
232,MAID,word,old,53,old,2.25340960547,R,0.84924254939
232,GEEL,nonword,new,NA,new,1.05100149289,N,NA
232,NOST,nonword,old,35,old,1.42266853154,K,0.87344545126
232,HAIR,word,old,54,old,2.05888241157,K,1.32938423008
232,DOOT,nonword,new,NA,new,1.18041758612,N,NA
232,AELT,nonword,old,8,new,1.17981422693,N,NA
232,BILP,nonword,old,2,old,1.64713357762,R,0.985666766763
232,COME,word,old,22,old,1.63957586512,R,0.993387028575
232,HEAR,word,new,NA,old,1.76948460191,R,1.21704446524
232,PALE,word,new,NA,new,1.62769318745,N,NA
232,SINK,word,old,6,old,1.28486802801,R,1.08943372592
232,SOLD,word,new,NA,new,3.08968864009,N,NA
232,JOSP,nonword,new,NA,new,2.63095343858,N,NA
232,FERN,word,old,13,old,1.22753432021,R,0.953195270151
232,SAFE,word,old,7,old,2.2670230642,K,1.18524110317
232,FOLT,nonword,old,27,new,2.80757005513,N,NA
232,FINE,word,old,51,old,1.52682774514,R,1.00143746287
232,TRAS,nonword,new,NA,new,1.54285484925,N,NA
232,WALL,word,new,NA,new,1.2412038371,N,NA
232,SPOA,nonword,old,56,old,1.2906486094,R,0.905474327505
232,KLIB,nonword,new,NA,new,2.915214587,N,NA
232,BOND,word,new,NA,new,1.69178492948,N,NA
232,DOPT,nonword,old,37,old,1.4161920324,K,1.12136029452
232,DEAR,word,old,46,old,1.29558598995,R,1.01733203977
232,PATE,nonword,new,NA,new,1.33105893061,N,NA
232,LONT,nonword,new,NA,old,2.79014607891,K,1.07285047695
232,FARE,word,new,NA,new,1.28553986177,N,NA
232,COOK,word,old,14,old,1.31218917295,R,0.825419332832
232,BACK,word,new,NA,new,1.15844509006,N,NA
232,RACE,word,new,NA,new,1.08641205728,N,NA
232,INPS,nonword,new,NA,old,2.25970720872,K,0.777361739427
232,BAIL,word,old,1,new,1.07397728413,N,NA
