ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
47,ABST,nonword,old,7,old,4.69526276365,R,4.4805907011
47,PLOK,nonword,old,32,new,2.64999884367,N,NA
47,LEFT,word,new,NA,new,3.26154486835,N,NA
47,MIND,word,new,NA,new,3.91871347651,N,NA
47,MYDE,nonword,old,6,old,1.28571771458,R,1.05168301798
47,DAPT,nonword,new,NA,old,3.9372809995,K,1.13915752992
47,GOOD,word,new,NA,new,1.78905370831,N,NA
47,LIFE,word,old,30,new,2.01000931486,N,NA
47,REST,word,new,NA,old,3.33713984489,K,1.69255610183
47,MENC,nonword,new,NA,new,1.72096227296,N,NA
47,WIND,word,old,34,new,4.53212527744,N,NA
47,DUFE,nonword,old,39,old,2.2051876355,R,1.71568183787
47,SPIZ,nonword,new,NA,new,1.53036927991,N,NA
47,JOSP,nonword,old,19,old,1.89952417836,R,1.74726044945
47,NOGE,nonword,old,33,new,1.35419536941,N,NA
47,DAUV,nonword,old,44,old,1.71879294328,R,1.12148867175
47,GIRL,word,old,29,old,1.20488497056,R,0.980280924588
47,NOTE,word,old,35,new,2.72234449349,N,NA
47,WUIL,nonword,old,23,old,1.49380489998,R,1.33879984356
47,COLD,word,new,NA,new,1.23055914603,N,NA
47,YEAR,word,new,NA,new,3.18522633612,N,NA
47,CAKE,word,new,NA,new,1.53657948971,N,NA
47,ZEAM,nonword,new,NA,old,2.65202550776,K,1.35510248132
47,CHIE,nonword,old,49,old,1.38963708654,R,1.25031911023
47,DATE,word,old,40,old,2.46285473183,K,1.08252518624
47,YAIL,nonword,old,28,old,1.20525296964,R,0.642522858456
47,SWAZ,nonword,new,NA,old,3.0125230886,R,1.29797947034
47,TREE,word,new,NA,new,1.58566162549,N,NA
47,HAND,word,new,NA,new,1.03494793735,N,NA
47,FOSK,nonword,new,NA,old,3.48057425767,K,1.49163468182
47,PAGE,word,old,17,new,1.27328884788,N,NA
47,WONE,nonword,new,NA,new,1.59594649635,N,NA
47,LIKE,word,new,NA,old,2.28509504721,K,1.18621300347
47,WALK,word,old,37,new,1.44260943681,N,NA
47,FOMB,nonword,old,18,old,1.29639547318,R,1.05065235309
47,BEEF,word,new,NA,new,1.3411669489,N,NA
47,COAT,word,old,21,new,0.999943111092,N,NA
47,WASH,word,new,NA,new,1.46742939204,N,NA
47,NAUC,nonword,old,43,old,1.16898547858,R,0.777939505875
47,TASP,nonword,old,15,new,2.26538530737,N,NA
47,TALK,word,new,NA,old,2.84565805085,K,0.78756393306
47,KNEE,word,old,38,new,1.12551399879,N,NA
47,CWUL,nonword,new,NA,old,2.2261382658,K,1.45896674134
47,VABB,nonword,new,NA,new,1.35700603202,N,NA
47,BLUE,word,new,NA,new,0.977725373581,N,NA
47,FEET,word,old,31,new,1.12575755455,N,NA
47,CLOF,nonword,new,NA,old,3.26045109145,K,1.1151935719
47,BATH,word,old,4,old,1.385461092,R,0.978814704344
47,JALT,nonword,new,NA,new,2.04748791456,N,NA
