ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
38,BOOK,word,new,NA,old,3.88395398483,K,2.06587854959
38,SWAZ,nonword,old,14,old,4.28173772246,R,2.3385198433
38,RETE,nonword,old,40,new,2.21756139025,N,NA
38,NOTE,word,old,22,new,2.43319123052,N,NA
38,TRUV,nonword,old,42,old,3.09181405976,R,1.09979493357
38,VABB,nonword,new,NA,new,7.17952012643,N,NA
38,DAPT,nonword,old,30,new,4.29109681584,N,NA
38,CLOF,nonword,new,NA,old,2.12258556113,K,4.7400555741
38,TALK,word,old,9,old,2.83773051016,R,1.9146654848
38,NOGE,nonword,new,NA,new,2.65428061411,N,NA
38,BLUE,word,new,NA,old,2.19069254957,K,0.87469000183
38,WONS,nonword,new,NA,new,2.68739344366,N,NA
38,DWEK,nonword,new,NA,new,2.06011855975,N,NA
38,MIND,word,new,NA,old,2.55830256268,R,1.2590204291
38,KNEE,word,new,NA,new,1.45973696187,N,NA
38,COLD,word,new,NA,old,16.3151709959,R,1.12332022376
38,FOSK,nonword,new,NA,new,2.33018741384,N,NA
38,LINE,word,old,32,old,2.23415602744,K,0.89762284793
38,SIME,nonword,old,50,old,1.72644137591,R,1.01023909263
38,SEAT,word,old,25,old,1.92891834863,K,0.99452489987
38,FACE,word,old,36,old,3.44849031419,R,0.99582400918
38,COLV,nonword,old,2,old,1.51710041426,R,0.794832363725
38,HALL,word,new,NA,old,1.8767731078,K,0.93835077621
38,HOME,word,new,NA,old,2.2220507171,K,0.771300850436
38,YEAR,word,new,NA,old,1.36762023531,K,0.841379836202
38,SHOP,word,new,NA,old,1.22365915775,K,0.810443891212
38,HEAD,word,old,45,old,1.76679108106,K,0.771929739043
38,RAIN,word,new,NA,old,1.47725604102,K,0.778492838144
38,TASP,nonword,old,27,old,1.41125615872,R,0.874152222648
38,LEFT,word,old,26,old,2.28451504931,K,1.69100721553
38,VEUL,nonword,old,10,old,1.21796894632,R,1.34675360471
38,HESP,nonword,new,NA,new,1.99921555631,N,NA
38,NAUC,nonword,new,NA,old,2.00730220973,R,1.02728839591
38,DOYS,nonword,old,28,old,3.46577695012,R,0.771569738165
38,FEET,word,new,NA,old,2.08758962341,R,0.754872880876
38,CAKE,word,new,NA,old,1.11135669053,R,1.17034858651
38,GOOD,word,old,24,old,2.71380184218,R,1.25075110979
38,GWIC,nonword,new,NA,new,1.52855461463,N,NA
38,MYDE,nonword,new,NA,new,1.41245660186,N,NA
38,CHUR,nonword,new,NA,old,1.95445785858,R,0.842853168026
38,UFTS,nonword,new,NA,new,1.54431725293,N,NA
38,COAT,word,old,4,old,1.53513327055,R,0.794767919928
38,WONE,nonword,old,5,old,1.94558054209,R,0.667116591707
38,WASH,word,old,23,old,2.68171345443,K,0.938143666834
38,DUFE,nonword,new,NA,old,3.88315620832,R,0.955206302926
38,LODD,nonword,old,33,new,2.42400724627,N,NA
38,YAIL,nonword,new,NA,old,1.66246682219,K,2.29135414772
38,LATT,nonword,old,18,old,1.41456415132,K,2.15450906008
38,LORT,nonword,new,NA,old,1.79164925963,R,0.858981138095
38,TIME,word,old,41,old,1.31595454924,R,0.722436938435
38,SOTE,nonword,old,34,new,1.43239656463,N,NA
38,SNOW,word,old,12,old,2.02840750478,K,0.738196909428
38,DOOR,word,new,NA,old,1.47531871125,R,1.78710660152
38,KISS,word,old,11,old,1.37171311677,R,1.25043555535
38,LOOK,word,new,NA,old,2.89095619321,R,1.25946398266
38,NARN,nonword,new,NA,new,1.70405030437,N,NA
38,PLOK,nonword,old,13,new,3.30061324313,N,NA
38,TREE,word,old,49,old,2.64960106835,R,1.08327185176
38,SNUZ,nonword,old,20,old,2.02235018276,R,1.39280685596
38,CWUL,nonword,old,19,new,6.5544705689,N,NA
38,WUIL,nonword,new,NA,new,1.42280902714,N,NA
38,MENC,nonword,new,NA,new,3.10873847269,N,NA
38,SALT,word,new,NA,old,2.49235690199,K,0.705663189292
38,CHIE,nonword,old,37,old,1.39550418593,R,0.8023919072
38,SPIZ,nonword,new,NA,old,2.97540937737,R,1.9480423145
38,SEFS,nonword,new,NA,new,1.79161548242,N,NA
38,CWEB,nonword,old,47,old,1.15668638796,R,0.747195560485
38,PAGE,word,old,21,new,1.64298241213,N,NA
38,KLIB,nonword,old,48,old,4.38665398024,R,1.09129183739
38,MAKE,word,old,29,old,2.7756528426,K,1.87512822077
38,WORK,word,old,6,old,1.281783944,R,0.970456497744
38,BATH,word,new,NA,old,4.01765463687,K,0.65839082934
38,DENC,nonword,new,NA,old,2.02576395497,R,1.0194364097
38,LIKE,word,old,43,old,1.69318232313,R,0.866750013083
38,GIRL,word,old,16,old,1.1886174418,R,0.850504266098
38,ZARC,nonword,new,NA,new,1.63939708471,N,NA
38,HALF,word,new,NA,old,1.99560889788,K,0.810206558555
38,ROAD,word,old,8,old,1.24649467319,K,0.79454969801
38,REST,word,old,1,old,1.154388614,R,0.819644765928
38,FOMB,nonword,old,38,old,2.18661477976,R,0.698655202985
38,RILM,nonword,old,7,new,3.2196022775,N,NA
38,HOAB,nonword,old,17,old,2.20172497444,R,0.729940036312
38,WIND,word,new,NA,old,1.99142846093,K,0.923463247716
38,KEPH,nonword,new,NA,new,1.50024622306,N,NA
38,BEEF,word,new,NA,old,1.45514452457,K,0.714344507083
38,SONG,word,old,35,old,3.44512632117,R,0.771189296618
38,DAUV,nonword,old,15,old,1.77922350354,R,0.779581723735
38,CASH,word,new,NA,old,1.80072124302,K,0.691183660179
38,LIFE,word,new,NA,old,2.90231661871,R,1.02695862018
38,FACT,word,old,44,old,1.97369871475,R,0.89870640263
38,DATE,word,new,NA,old,0.946669870988,K,0.650192178786
38,SKIN,word,new,NA,old,1.21215339936,K,0.722730714828
38,GATE,word,old,39,old,1.28679904528,K,1.04354081117
38,HAND,word,new,NA,old,1.12787488475,R,1.15498239174
38,ZEAM,nonword,new,NA,new,1.67038725317,N,NA
38,JOSP,nonword,new,NA,new,1.49805955961,N,NA
38,BIRD,word,new,NA,old,1.36231446639,K,0.786103047431
38,ABST,nonword,old,46,old,1.80816745199,R,0.85857491754
38,JALT,nonword,old,31,old,1.40402461402,R,0.690734772012
38,WALK,word,old,3,old,1.09474027529,R,0.75440932624
