ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
41,BIRD,word,new,NA,old,6.06351988763,R,4.01709819213
41,PLOK,nonword,new,NA,old,3.01846085489,K,0.778468837962
41,BLUE,word,old,25,old,1.03361771815,R,0.875573109835
41,JALT,nonword,new,NA,old,1.34294472449,R,1.05135279708
41,LODD,nonword,new,NA,new,3.97069916315,N,NA
41,NOGE,nonword,old,14,old,1.4494534228,K,1.53106972203
41,CHUR,nonword,old,2,old,1.06017322652,R,1.13092687726
41,DUFE,nonword,old,39,old,2.01090264693,K,1.56267499924
41,SNOW,word,new,NA,old,1.5456368085,K,2.21128762513
41,LEFT,word,old,18,old,1.22310849279,R,1.01189820096
41,SPIZ,nonword,old,30,new,1.58156207763,N,NA
41,SIME,nonword,new,NA,new,1.21448272839,N,NA
41,TALK,word,new,NA,old,2.54490169697,K,1.02742439695
41,NAUC,nonword,new,NA,old,0.956281412393,K,0.723376490176
41,SKIN,word,new,NA,old,0.772460848093,R,0.86736690253
41,WONS,nonword,old,26,old,0.901678398252,R,0.955484524369
41,CHIE,nonword,new,NA,new,2.39581618458,N,NA
41,HAND,word,old,11,old,0.946691649035,R,0.77874083817
41,NOTE,word,new,NA,old,0.926381019875,R,0.956279190257
41,VABB,nonword,new,NA,new,1.63631531224,N,NA
41,WALK,word,old,28,old,1.15011617728,R,0.691383214667
41,MENC,nonword,old,17,old,1.0684509892,R,0.818406989798
41,VEUL,nonword,old,22,new,1.91363081895,N,NA
41,WASH,word,new,NA,old,1.71506628394,R,0.876453109086
41,COAT,word,old,10,old,0.881003767252,R,0.746517339721
41,SWAZ,nonword,new,NA,new,2.55419679172,N,NA
41,ZEAM,nonword,old,36,old,1.89233263582,R,0.834926515818
41,HESP,nonword,new,NA,old,2.06403899752,K,0.804695013911
41,HEAD,word,old,45,old,1.24793111533,R,0.819920320064
41,BATH,word,new,NA,new,1.91606059298,N,NA
41,KISS,word,old,19,old,0.869018010795,R,0.71604228206
41,UFTS,nonword,new,NA,new,1.52538528852,N,NA
41,DOYS,nonword,old,1,old,0.854836702347,R,1.30001946725
41,FACE,word,new,NA,new,1.82097942941,N,NA
41,WIND,word,old,42,old,0.892987744883,R,0.763303531334
41,WUIL,nonword,old,50,old,1.34468205459,K,0.922377470881
41,REST,word,old,6,old,2.16992325336,R,0.675407243893
41,TRUV,nonword,new,NA,new,1.68812055513,N,NA
41,SOTE,nonword,new,NA,new,1.3176078815,N,NA
41,FACT,word,new,NA,old,1.71724539064,K,2.74712489359
41,LINE,word,old,27,old,1.34069583751,K,1.18685744517
41,HOME,word,new,NA,new,3.13755842298,N,NA
41,FOSK,nonword,new,NA,new,3.20705029741,N,NA
41,CASH,word,new,NA,new,1.52335151285,N,NA
41,CWEB,nonword,new,NA,old,1.19674320519,R,0.818864766508
41,NARN,nonword,old,24,old,1.06144833565,K,1.0991580449
41,RAIN,word,old,15,old,1.22005294263,R,0.763749308884
41,GWIC,nonword,old,9,old,1.21266095527,R,0.683249006048
41,JOSP,nonword,new,NA,new,1.36368824169,N,NA
41,DAPT,nonword,new,NA,old,1.0638376642,R,0.931797899306
41,KEPH,nonword,old,31,new,1.77043951862,N,NA
41,MYDE,nonword,old,48,new,1.80699278787,N,NA
41,WORK,word,new,NA,old,0.982887586579,R,0.754956880584
41,KLIB,nonword,new,NA,old,1.32529497705,K,1.32323231362
41,GOOD,word,old,4,old,1.12381400168,R,0.75465554744
41,YAIL,nonword,old,44,old,1.28260749765,R,0.731039589271
41,ROAD,word,old,41,old,0.972693827003,R,0.722754715011
41,CAKE,word,new,NA,new,1.55158212967,N,NA
41,FOMB,nonword,new,NA,old,1.9117534887,K,0.779475947842
41,MAKE,word,old,13,old,4.58748517744,R,0.628322882578
41,RILM,nonword,new,NA,new,1.88015088066,N,NA
41,YEAR,word,new,NA,old,1.18462722749,K,0.824976310134
41,SONG,word,old,5,old,1.64390285499,R,0.739620463923
41,DAUV,nonword,old,43,new,1.50200977363,N,NA
41,BEEF,word,old,3,old,0.719886720181,R,0.739812461659
41,WONE,nonword,old,34,old,4.50009333342,K,0.722080495209
41,DOOR,word,old,12,old,0.796004362404,R,0.618581121787
41,MIND,word,new,NA,old,1.03856571019,R,0.755513768643
41,TIME,word,new,NA,new,2.65216683969,N,NA
41,LIFE,word,new,NA,old,1.03965459578,R,0.699409423396
41,LIKE,word,new,NA,old,3.85214204155,K,4.18000279181
41,LATT,nonword,old,32,old,0.917460590601,R,0.722592493519
41,SNUZ,nonword,old,29,old,1.47695337422,R,0.985509803519
41,HOAB,nonword,new,NA,new,1.89855840243,N,NA
41,TREE,word,new,NA,old,1.69935875572,R,0.915952594951
41,PAGE,word,old,21,new,1.51795730181,N,NA
41,ZARC,nonword,old,37,old,0.944145876914,R,1.0921376124
41,ABST,nonword,old,16,old,1.30880211852,R,0.627541106194
41,BOOK,word,old,38,old,2.36898423173,R,0.755666658282
41,HALF,word,old,46,old,4.81006700359,K,1.2185391672
41,GATE,word,old,33,old,1.25241910852,R,0.778955504298
41,TASP,nonword,old,20,old,7.08429451659,K,0.675391243771
41,COLV,nonword,new,NA,old,3.11287757754,K,0.594382055104
41,DATE,word,new,NA,old,1.30985055864,R,0.948068980128
41,CLOF,nonword,old,49,new,1.86798023432,N,NA
41,DENC,nonword,new,NA,old,1.93177567609,R,0.924646800384
41,SHOP,word,new,NA,new,1.22069249675,N,NA
41,LORT,nonword,new,NA,new,3.45390541479,N,NA
41,CWUL,nonword,new,NA,old,1.23201603256,R,0.587133621797
41,RETE,nonword,old,7,old,1.53498793766,R,0.843718944117
41,COLD,word,old,8,old,0.944121431559,R,0.596066495404
41,SEAT,word,new,NA,old,3.35622558929,K,1.79405369982
41,DWEK,nonword,old,47,old,3.12821621634,K,0.628363328055
41,FEET,word,old,40,old,0.836900290102,R,0.578798525035
41,HALL,word,new,NA,new,1.25647065602,N,NA
41,GIRL,word,new,NA,new,1.44965297915,N,NA
41,LOOK,word,old,35,old,1.03196927719,R,0.650186398998
41,SALT,word,new,NA,old,2.53973992914,K,2.96333695389
